Description,ReturnValue
FAIRY TALE COTTAGE NIGHTLIGHT,-7.8
VINTAGE DOILY TRAVEL SEWING KIT,-7.8
BLUE SCOTTIE DOG W FLOWER PATTERN,-7.6499999999999995
CACTI T-LIGHT CANDLES,-7.56
PACKING CHARGE,-7.5
LETTER HOLDER HOME SWEET HOME,-7.5
BEADED PEARL HEART WHITE ON STICK,-7.5
RED RETROSPOT STORAGE JAR,-7.5
DIAMANTE NECKLACE PURPLE,-7.5
CLASSIC DIAMANTE NECKLACE JET,-7.5
POLKA DOT RAFFIA FOOD COVER,-7.5
STRAWBERRY RAFFIA FOOD COVER,-7.5
BIRDCAGE DECORATION TEALIGHT HOLDER,-7.5
GREEN POLKADOT BOWL,-7.5
FILIGREE HEART BUTTERFLY WHITE,-7.5
SMALL PARISIENNE HEART PHOTO FRAME,-7.470000000000001
CERAMIC STRAWBERRY DESIGN MUG,-7.45
DECORATION SITTING BUNNY,-7.41
SET/4 DAISY MIRROR MAGNETS,-7.32
SET OF 72 GREEN PAPER DOILIES,-7.25
PANTRY APPLE CORER,-7.25
PSYCHEDELIC TILE COASTER,-6.959999999999999
12 PENCILS TALL TUBE POSY,-6.959999999999999
PACK OF 12 BLUE PAISLEY TISSUES,-6.959999999999999
PACK OF 12 PINK PAISLEY TISSUES,-6.959999999999999
PEACE WOODEN BLOCK LETTERS,-6.95
AFGHAN SLIPPER SOCK PAIR,-6.9
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,-6.790000000000001
ASSTD DESIGN RACING CAR PEN,-6.76
PEACE SMALL WOOD LETTERS,-6.75
SET OF 6 SNACK LOAF BAKING CASES,-6.64
CLEAR MILKSHAKE GLASS,-6.6
PINK POLKADOT CHILDRENS UMBRELLA,-6.5
VINTAGE BILLBOARD DRINK ME MUG,-6.36
BLUE WIRE SPIRAL CANDLE HOLDER,-6.35
WOODLAND STORAGE BOX SMALL,-6.300000000000001
PINK ENAMEL+GLASS HAIR COMB,-6.300000000000001
GLITTER HANGING BUTTERFLY STRING,-6.300000000000001
ANTIQUE ALL GLASS CANDLESTICK,-6.300000000000001
AREA PATROLLED METAL SIGN,-6.300000000000001
GINGERBREAD MAN COOKIE CUTTER,-6.25
UNION STRIPE CUSHION COVER,-6.25
RUSTIC MIRROR WITH LACE HEART,-6.25
CHRISTMAS PUDDING TRINKET POT,-6.25
ALPHABET STENCIL CRAFT,-6.25
FLOWERS CHANDELIER T-LIGHT HOLDER,-6.25
HANGING  BUTTERFLY T-LIGHT HOLDER,-6.24
WOODEN UNION JACK BUNTING,-5.95
CREAM WALL PLANTER HEART SHAPED,-5.95
LOVE BUILDING BLOCK WORD,-5.95
YELLOW GIANT GARDEN THERMOMETER,-5.95
CHRISTMAS METAL POSTCARD WITH BELLS,-5.93
OFFICE MUG WARMER CHOC+BLUE,-5.9
BLUE OWL SOFT TOY,-5.9
FRENCH ENAMEL POT W LID,-5.9
PINK DOG BOWL,-5.9
PINK GLASS CANDLEHOLDER,-5.9
S/6 WOODEN SKITTLES IN COTTON BAG,-5.9
OFFICE MUG WARMER POLKADOT,-5.9
WHITE LOVEBIRD LANTERN,-5.9
PINK SMALL GLASS CAKE STAND,-5.85
SCOTTIES DESIGN WASHBAG,-5.85
YOU'RE CONFUSING ME METAL SIGN,-5.8
SINGLE ANTIQUE ROSE HOOK IVORY,-5.8
DOILEY STORAGE TIN,-5.78
BLACK PHOTO ALBUM,-5.55
SWEETHEART KEY CABINET,-5.55
72 SWEETHEART FAIRY CAKE CASES,-5.5
"FEATHER PEN,COAL BLACK",-5.46
CHRISTMAS MUSICAL ZINC TREE,-5.1
PURPLE PAPER PARASOL,-5.1
SWALLOW WOODEN CHRISTMAS DECORATION,-5.1
SKULL LUNCH BOX WITH CUTLERY,-5.1
MEDIUM WHITE/PINK ROSE ART FLOWER,-5.07
PACK OF 12 SPACEBOY TISSUES,-5.069999999999999
ELEPHANT BIRTHDAY CARD,-5.04
SPACEBOY BIRTHDAY CARD,-5.04
PENNY FARTHING BIRTHDAY CARD,-5.04
CARD BILLBOARD FONT,-5.04
CARD CHRISTMAS VILLAGE,-5.04
ASSORTED BOTTLE TOP  MAGNETS,-5.04
VINTAGE KID DOLLY CARD,-5.04
CHRISTMAS CARD SINGING ANGEL,-5.04
ROBIN CHRISTMAS CARD,-5.04
EGG CUP MILKMAID HELGA,-5.0
EIGHT PIECE DINOSAUR SET,-5.0
12 PINK ROSE PEG PLACE SETTINGS,-5.0
CITRONELLA CANDLE GARDEN POT,-5.0
BLUE/CREAM STRIPE CUSHION COVER,-5.0
PIG KEYRING WITH LIGHT & SOUND,-5.0
LARGE BONNE JAM JAR  T-LIGHT HOLDER,-4.98
CERAMIC BOWL WITH LOVE HEART DESIGN,-4.9799999999999995
COCKTAIL SWORDS 50 PIECES,-4.9799999999999995
BULL DOG BOTTLE OPENER,-4.95
BEADED CHANDELIER T-LIGHT HOLDER,-4.95
RED RETROSPOT BIG BOWL,-4.95
FLAMINGO LIGHTS,-4.95
TRELLIS COAT RACK,-4.95
POPPY FIELDS CHOPPING BOARD,-4.95
CREAM SWEETHEART EGG HOLDER,-4.95
S/4 CACTI CANDLES,-4.95
SMALL GLASS SUNDAE DISH CLEAR,-4.949999999999999
DECORATIVE WICKER HEART LARGE,-4.949999999999999
S/4 PINK FLOWER CANDLES IN BOWL,-4.949999999999999
JUMBO BAG SCANDINAVIAN PAISLEY,-4.949999999999999
HENRIETTA HEN MUG,-4.949999999999999
HANGING CLEAR MINI BOTTLE,-4.720000000000001
PACK OF 12 LONDON TISSUES,-4.68
"FEATHER PEN,LIGHT PINK",-4.68
PACK OF 12 CIRCUS PARADE TISSUES,-4.68
DECORATION WOBBLY CHICKEN,-4.68
CREAM SWEETHEART LETTER RACK,-4.65
SET/6 COLLAGE PAPER CUPS,-4.5600000000000005
ASSORTED TUTTI FRUTTI BRACELET,-4.5600000000000005
HEART DECORATION RUSTIC HANGING,-4.5600000000000005
PINK POODLE HANGING DECORATION,-4.5600000000000005
TREASURE ISLAND BOOK BOX,-4.5
LOLITA  DESIGN  COTTON TOTE BAG,-4.5
ROSE SCENT CANDLE IN JEWELLED BOX,-4.25
BOX OF 6 ASSORTED COLOUR TEASPOONS,-4.25
AIRLINE BAG VINTAGE WORLD CHAMPION,-4.25
SILVER M.O.P ORBIT DROP EARRINGS,-4.25
"HOOK, 1 HANGER ,MAGIC GARDEN",-4.25
SILVER BLACK ORBIT DROP EARRINGS,-4.25
FRIDGE MAGNETS LES ENFANTS ASSORTED,-4.25
SET/3 ROSE CANDLE IN JEWELLED BOX,-4.25
DOG BOWL VINTAGE CREAM,-4.25
COLOURING PENCILS BROWN TUBE,-4.2
GROW YOUR OWN BASIL IN ENAMEL MUG,-4.2
LARGE RED RETROSPOT WINDMILL,-4.2
SKULLS STORAGE BOX SMALL,-4.2
CHILDS GARDEN SPADE PINK,-4.2
CHRISTMAS CRAFT LITTLE FRIENDS,-4.2
JUMBO STORAGE BAG SKULLS,-4.16
CERAMIC HEART FAIRY CAKE MONEY BANK,-4.15
SET OF 6 HERB TINS SKETCHBOOK,-3.95
SET OF 4 DIAMOND NAPKIN RINGS,-3.95
ANT WHITE WIRE HEART SPIRAL,-3.95
BLACK HEART CARD HOLDER,-3.95
CREAM HEART CARD HOLDER,-3.95
RED POLKADOT BEAKER,-3.9
SET OF 3 GOLD FLYING DUCKS,-3.9
ANTIQUE GLASS HEART DECORATION,-3.9
MINI CAKE STAND T-LIGHT HOLDER,-3.7800000000000002
FAIRY CAKE DESIGN UMBRELLA,-3.75
PINK FLORAL FELTCRAFT SHOULDER BAG,-3.75
CHRISTMAS TOILET ROLL,-3.75
MIDNIGHT GLAMOUR SCARF KNITTING KIT,-3.75
ANTIQUE TALL SWIRLGLASS TRINKET POT,-3.75
VINTAGE SEASIDE JIGSAW PUZZLES,-3.75
HOLIDAY FUN LUDO,-3.75
CARDHOLDER HOLLY WREATH METAL,-3.75
BEACH HUT KEY CABINET,-3.75
DOG BOWL CHASING BALL DESIGN,-3.75
MILK PAN RED RETROSPOT,-3.75
FLOWER VINE RAFFIA FOOD COVER,-3.75
SCANDINAVIAN REDS RIBBONS,-3.75
20 DOLLY PEGS RETROSPOT,-3.75
3 GARDENIA MORRIS BOXED CANDLES,-3.75
PORCELAIN ROSE SMALL,-3.4
CARD I LOVE LONDON,-3.36
SILK PURSE BABUSHKA BLUE,-3.35
WOODLAND PARTY BAG + STICKER SET,-3.3
DRAWER KNOB CRACKLE GLAZE PINK,-3.3
FRENCH BATHROOM SIGN BLUE METAL,-3.3
IVORY ENCHANTED FOREST PLACEMAT,-3.3
LUNCH BAG DOILEY PATTERN,-3.3
HEART T-LIGHT HOLDER WILLIE WINKIE,-3.3
SET/4 BLUE FLOWER CANDLES IN BOWL,-3.3
RIDGED BONNE JAM JAR T-LIGHT HOLDER,-3.3
LUNCH BAG SUKI  DESIGN,-3.3
DRAWER KNOB CRACKLE GLAZE BLUE,-3.3
SCANDINAVIAN PAISLEY PICNIC BAG,-3.3
GARDENERS KNEELING PAD CUP OF TEA,-3.3
LARGE TORTILLA DESIGN RED BOWL,-3.29
RED RETROSPOT SHOPPER BAG,-3.18
TOILET METAL SIGN,-3.17
BLUE POLKADOT BEAKER,-3.12
PINK POT PLANT CANDLE,-2.95
GLASS JAR KINGS CHOICE,-2.95
PINK  HEART SHAPE LOVE BUCKET,-2.95
FORKED CACTUS CANDLE,-2.95
MEASURING TAPE BABUSHKA BLUE,-2.95
PINK OWL SOFT TOY,-2.95
RED RETROSPOT OVEN GLOVE DOUBLE,-2.95
KINGS CHOICE TEA CADDY,-2.95
FIVE HEART HANGING DECORATION,-2.95
MEASURING TAPE BABUSHKA PINK,-2.95
CERAMIC CHERRY CAKE MONEY BANK,-2.9
CERAMIC PIRATE CHEST MONEY BANK,-2.9
SET OF 12 FORK CANDLES,-2.89
HOUSE SHAPE PENCIL SHARPENER,-2.88
HANGING JAM JAR T-LIGHT HOLDERS,-2.55
CLASSICAL ROSE SMALL VASE,-2.55
ILLUSTRATED CAT BOWL,-2.55
SET OF 4 NAPKIN CHARMS CROWNS,-2.55
CAMOUFLAGE DESIGN TEDDY,-2.55
RED PAPER PARASOL,-2.55
PINK LARGE JEWELED PHOTOFRAME,-2.55
COFFEE MUG PINK PAISLEY DESIGN,-2.55
WHITE TRAVEL ALARM CLOCK,-2.55
EAU DE NILE JEWELLED PHOTOFRAME,-2.55
RETROSPOT GIANT TUBE MATCHES,-2.55
PACK OF 6 HANDBAG GIFT BOXES,-2.55
GARDEN PATH JOURNAL,-2.55
LIPSTICK PEN RED,-2.52
VINTAGE GOLD TINSEL REEL,-2.52
RED/CREAM STRIPE CUSHION COVER,-2.5
SMALL RED RETROSPOT WINDMILL,-2.5
SMALL WHITE/PINK ROSE ART FLOWER,-2.5
IVORY SWEETHEART SOAP DISH,-2.49
BLACK CHAMPAGNE GLASS,-2.4299999999999997
DAIRY MAID TOASTRACK,-2.37
GRASS HOPPER WOODEN WALL CLOCK,-2.37
SILVER PHOTO FRAME,-2.1
FUNKY WASHING UP GLOVES ASSORTED,-2.1
RETROSPOT RED WASHING UP GLOVES,-2.1
HAND WARMER SCOTTY DOG DESIGN,-2.1
NUMBER TILE COTTAGE GARDEN No,-2.1
ASSORTED TUTTI FRUTTI LARGE PURSE,-2.1
CHILDREN'S APRON DOLLY GIRL,-2.1
SET/6 PINK  BUTTERFLY T-LIGHTS,-2.1
LADIES & GENTLEMEN METAL SIGN,-2.1
BLUE POLKADOT WASHING UP GLOVES,-2.1
HOME SWEET HOME BOTTLE,-2.08
LOVE HEART TRINKET POT,-1.9500000000000002
PASTEL COLOUR HONEYCOMB FAN,-1.9500000000000002
PSYCHEDELIC TILE HOOK,-1.9500000000000002
SET 12 COLOUR PENCILS DOLLY GIRL,-1.9500000000000002
NUMBER TILE COTTAGE GARDEN 9,-1.95
CHARLIE + LOLA BISCUITS TINS,-1.95
PINK MONTE CARLO HANDBAG,-1.95
NUMBER TILE COTTAGE GARDEN 1,-1.95
FOOD CONTAINER SET 3 LOVE HEART,-1.95
PINK BUTTERFLY CUSHION COVER,-1.95
HEART MINI PORTRAIT FRAME,-1.95
POTTING SHED TWINE,-1.85
SET/4 BIRD MIRROR MAGNETS,-1.7399999999999998
CHRISTMAS RETROSPOT ANGEL WOOD,-1.7
MULTICOLOUR HONEYCOMB FAN,-1.7
HANGING JAM JAR T-LIGHT HOLDER,-1.7
BAG 250g SWIRLY MARBLES,-1.7
SET/6 PINK BIRD T-LIGHT CANDLES,-1.7
WOOD STOCKING CHRISTMAS SCANDISPOT,-1.7
PAINTED METAL PEARS ASSORTED,-1.69
HOT BATHS SOAP HOLDER,-1.69
TRAVEL CARD WALLET VINTAGE TICKET,-1.68
NATURAL HANGING QUILTED HEARTS,-1.66
BLACK PIRATE TREASURE CHEST,-1.65
BUNDLE OF 3 RETRO NOTE BOOKS,-1.65
EAU DE NILE HEART SHAPE PHOTO FRAME,-1.65
S/4 BLACK MINI ROSE CANDLE IN BOWL,-1.65
GLASS CHALICE GREEN  SMALL,-1.65
STAR T-LIGHT HOLDER WILLIE WINKIE,-1.65
BAG 500g SWIRLY MARBLES,-1.65
BUNDLE OF 3 SCHOOL EXERCISE BOOKS,-1.65
VINTAGE  2 METRE FOLDING RULER,-1.65
TRAVEL SEWING KIT,-1.65
HEN HOUSE DECORATION,-1.65
SUKI  SHOULDER BAG,-1.65
RECTANGULAR SHAPED MIRROR,-1.58
GREEN VINTAGE SPOT BEAKER,-1.5699999999999998
CHARLOTTE BAG DOLLY GIRL DESIGN,-1.5699999999999998
POLYESTER FILLER PAD 45x45cm,-1.55
KIDS RAIN MAC BLUE,-1.5
LOVE HEART SOCK HANGER,-1.45
CHOC TRUFFLE GOLD TRINKET POT,-1.45
PORCELAIN HANGING BELL SMALL,-1.45
WOODEN HEART CHRISTMAS SCANDINAVIAN,-1.45
FRENCH LAUNDRY SIGN BLUE METAL,-1.45
SET OF 72 PINK HEART PAPER DOILIES,-1.45
SKETCHBOOK MAGNETIC SHOPPING LIST,-1.45
WINE BOTTLE DRESSING DARK BLUE,-1.44
12 PENCIL SMALL TUBE WOODLAND,-1.3
SET 12 KIDS COLOUR  CHALK STICKS,-1.26
200 BENDY SKULL STRAWS,-1.25
KINGS CHOICE MUG,-1.25
SET OF 3 WOODEN HEART DECORATIONS,-1.25
SET OF 3 BIRD LIGHT PINK FEATHER,-1.25
LAUNDRY 15C METAL SIGN,-1.25
SET OF 3 WOODEN SLEIGH DECORATIONS,-1.25
GARLAND WOODEN HAPPY EASTER,-1.25
SET OF 4 ENGLISH ROSE COASTERS,-1.25
SALLE DE BAIN HOOK,-1.25
TRADITIONAL WOODEN CATCH CUP GAME,-1.25
RED METAL BEACH SPADE,-1.25
SET 6 FOOTBALL CELEBRATION CANDLES,-1.25
FRENCH WC SIGN BLUE METAL,-1.25
VINTAGE RED ENAMEL TRIM MUG,-1.25
VINTAGE RED TEATIME MUG,-1.25
SPACEBOY CHILDRENS EGG CUP,-1.25
MONEY BOX BISCUITS DESIGN,-1.25
EGG CUP HENRIETTA HEN CREAM,-1.25
EGG CUP HENRIETTA HEN PINK,-1.25
WATERING CAN GARDEN MARKER,-1.25
PINK HEART SHAPE EGG FRYING PAN,-1.25
PINK DRAWER KNOB ACRYLIC EDWARDIAN,-1.25
GROW YOUR OWN PLANT IN A CAN,-1.25
FELT FARM ANIMAL RABBIT,-1.25
CHARLIE & LOLA WASTEPAPER BIN BLUE,-1.25
PLAYING CARDS KEEP CALM & CARRY ON,-1.25
GIN AND TONIC MUG,-1.06
REX CASH+CARRY JUMBO SHOPPER,-0.95
SWEET PUDDING STICKER SHEET,-0.85
KIDS RAIN MAC PINK,-0.85
12 PENCILS TALL TUBE RED RETROSPOT,-0.85
12 PENCILS TALL TUBE SKULLS,-0.85
MOROCCAN TEA GLASS,-0.85
BIRD DECORATION RED RETROSPOT,-0.85
SET 20 NAPKINS FAIRY CAKES DESIGN,-0.85
FRIDGE MAGNETS LA VIE EN ROSE,-0.85
MAGIC TREE -PAPER FLOWERS,-0.85
FELT EGG COSY CHICKEN,-0.85
ROCKING HORSE RED CHRISTMAS,-0.85
MINI  ZINC GARDEN DECORATIONS,-0.85
MAGIC DRAWING SLATE SPACEBOY,-0.84
MINI JIGSAW DINOSAUR,-0.84
BOOZE & WOMEN GREETING CARD,-0.84
PARTY CHARMS 50 PIECES,-0.83
SET OF 12 MINI LOAF BAKING CASES,-0.83
MINIATURE ANTIQUE ROSE HOOK IVORY,-0.83
50'S CHRISTMAS PAPER GIFT BAG,-0.82
GLITTER CHRISTMAS TREE WITH BELLS,-0.79
BLACK MEDIUM GLASS CAKE STAND,-0.79
"KEY FOB , SHED",-0.65
ASSORTED COLOUR T-LIGHT HOLDER,-0.65
LARGE HANGING IVORY & RED WOOD BIRD,-0.65
AGED GLASS SILVER T-LIGHT HOLDER,-0.65
PINK/WHITE CHRISTMAS TREE 60CM,-0.65
FAIRY CAKES NOTEBOOK A6 SIZE,-0.65
ANGEL DECORATION STARS ON DRESS,-0.42
TRAVEL CARD WALLET I LOVE LONDON,-0.42
PLACE SETTING WHITE STAR,-0.42
SWIRLY CIRCULAR RUBBERS IN BAG,-0.42
BAG 125g SWIRLY MARBLES,-0.42
MINI JIGSAW CIRCUS PARADE,-0.42
CANDY HEART HANGING DECORATION,-0.39
BLACK SMALL GLASS CAKE STAND,-0.39
TUMBLER BAROQUE,-0.39
MULTICOLOUR SPRING FLOWER MUG,-0.39
PACK OF 12 SUKI TISSUES,-0.39
HANGING SPRING FLOWER EGG SMALL,-0.19
Sold as 1 on dotcom,0.0
Incorrect stock entry.,0.0
Crushed,0.0
Not rcvd in 10/11/2010 delivery,0.0
Thrown away.,0.0
temp adjustment,0.0
throw away,0.0
thrown away,0.0
water damage,0.0
wrongly sold as sets,0.0
wrongly marked carton 22804,0.0
wrong barcode (22467),0.0
Amazon sold sets,0.0
lost,0.0
incorrect stock entry.,0.0
sold as set on dotcom and amazon,0.0
water damaged,0.0
missing,0.0
mixed up,0.0
mouldy,0.0
check,0.0
can't find,0.0
broken,0.0
reverse 21/5/10 adjustment,0.0
mystery! Only ever imported 1800,0.0
wet damaged,0.0
counted,0.0
code mix up? 84930,0.0
"mouldy, thrown away.",0.0
Thrown away-rusty,0.0
Wrongly mrked had 85123a in box,0.0
Damages/samples,0.0
CHECK,0.0
Dotcom set,0.0
Dotcom sales,0.0
POSSIBLE DAMAGES OR LOST?,0.0
Damaged,0.0
damaged stock,0.0
damages,0.0
WET/MOULDY,0.0
?,0.0
??,0.0
? sold as sets?,0.0
????damages????,0.0
???,0.0
?display?,0.0
historic computer difference?....se,0.0
faulty,0.0
Water damaged,0.0
damages/credits from ASOS.,0.0
damages wax,0.0
?sold as sets?,0.0
?missing,0.0
wet boxes,0.0
wet,0.0
MIA,0.0
"MERCHANT CHANDLER CREDIT ERROR, STO",0.0
crushed,0.0
crushed boxes,0.0
crushed ctn,0.0
stock check,0.0
damaged,0.0
wrongly coded-23343,0.0
damages/showroom etc,0.0
damages/display,0.0
dotcom,0.0
dotcom sales,0.0
dotcom sold sets,0.0
damages?,0.0
samples,0.0
showroom,0.0
sold as 1,0.0
smashed,0.0
sold as set by dotcom,0.0
sold as set on dotcom,0.0
wrongly sold sets,0.0
